batch,wait
0,3.728
1,3.473
2,3.696
3,4.078
4,4.304
5,3.463
6,3.415
7,3.840
8,3.992
9,4.505
10,4.294
11,3.550
12,3.645
13,3.557
14,4.743
15,3.475
16,3.961
17,3.611
18,4.209
19,4.132
20,3.216
21,3.736
22,4.004
23,3.392
24,3.908
25,4.143
26,3.435
27,3.625
28,4.018
29,3.632
30,3.554
31,3.627
32,3.965
33,3.935
34,3.558
35,3.831
36,3.892
37,3.809
38,4.407
39,4.064
40,4.064
41,3.319
42,4.756
43,4.171
44,3.991
45,3.572
46,3.684
47,4.326
48,3.860
49,4.321
50,4.301
51,3.931
52,3.678
53,3.568
54,3.678
55,3.966
56,3.526
57,3.769
58,3.856
59,3.607
60,3.465
61,4.041
62,4.103
63,3.795
64,3.415
65,3.887
66,3.748
67,3.964
68,3.568
69,3.919
70,4.154
71,4.291
72,4.681
73,3.751
74,4.084
75,3.864
76,3.713
77,3.681
78,4.317
79,3.711
80,3.915
81,3.766
82,3.611
83,3.909
84,3.788
85,4.086
86,3.915
87,3.701
88,3.417
89,3.823
90,4.564
91,3.589
92,4.294
93,4.082
94,3.674
95,3.991
96,3.936
97,3.955
98,3.923
99,4.256
100,3.416
101,4.673
102,4.033
103,3.857
104,3.617
105,3.506
106,4.132
107,3.589
108,4.683
109,3.569
110,4.017
111,3.728
112,4.557
113,3.926
114,3.759
115,3.385
116,4.041
117,3.777
118,4.015
119,4.678
120,3.714
121,4.278
122,4.148
123,4.102
124,4.282
125,3.780
126,3.811
127,3.889
128,4.191
129,4.154
130,3.913
131,4.707
132,3.601
133,3.945
134,3.688
135,4.694
136,3.611
137,4.004
138,3.458
139,4.461
140,4.250
141,4.004
142,3.570
143,3.922
144,4.808
145,3.648
146,4.055
147,3.751
148,3.482
149,4.078
150,3.754
151,4.241
152,3.314
153,4.255
154,4.236
155,3.901
156,3.488
157,4.058
158,4.178
159,3.855
160,4.821
161,4.144
162,4.519
163,3.531
164,3.806
165,3.454
166,4.406
167,4.911
168,4.257
169,4.402
170,3.840
171,3.993
172,4.168
173,3.587
174,3.888
175,3.795
176,4.244
177,4.009
178,3.782
179,3.433
180,4.755
181,3.941
182,3.852
183,4.830
184,3.593
185,3.630
186,3.633
187,4.234
188,3.565
189,4.118
190,4.138
191,4.168
192,4.208
193,4.217
194,4.586
195,3.972
196,4.463
197,4.212
198,4.269
199,3.982
200,4.336
201,3.760
202,3.896
203,5.408
204,4.502
205,4.664
206,3.768
207,3.705
208,4.175
209,4.137
210,3.806
211,4.125
212,4.223
213,3.615
214,3.619
215,4.028
216,3.630
217,3.721
218,3.434
219,3.903
220,3.622
221,3.827
222,4.220
223,4.165
224,3.911
225,4.124
226,4.788
227,3.758
228,3.474
229,3.803
230,3.874
231,3.782
232,4.031
233,4.032
234,3.896
235,4.717
236,3.894
237,4.147
238,3.978
239,3.737
240,4.405
241,4.121
242,3.398
243,3.726
244,5.277
245,4.324
246,4.553
247,3.481
248,4.069
249,4.110
250,3.687
251,3.749
252,4.180
253,4.091
254,4.732
255,3.814
