batch,wait
0,1.875
1,1.783
2,1.817
3,1.835
4,1.872
5,1.860
6,1.825
7,1.793
8,1.871
9,1.799
10,1.779
11,1.866
12,1.856
13,1.729
14,1.842
15,1.836
16,1.868
17,1.812
18,1.876
19,1.814
20,1.852
21,1.818
22,1.849
23,1.883
24,1.953
25,1.853
26,1.836
27,1.834
28,1.845
29,1.838
30,1.874
31,1.847
32,1.868
33,1.712
34,1.885
35,1.919
36,1.841
37,1.775
38,1.847
39,1.842
40,1.879
41,1.773
42,1.813
43,1.844
44,1.868
45,1.871
46,1.811
47,1.888
48,1.924
49,1.844
50,1.889
51,1.808
52,1.882
53,1.910
54,1.836
55,1.707
56,1.806
57,1.768
58,1.898
59,1.896
60,1.887
61,1.818
62,1.780
63,1.807
64,1.792
65,1.864
66,1.905
67,1.910
68,1.844
69,1.886
70,1.899
71,1.793
72,1.909
73,1.828
74,1.869
75,1.798
76,1.862
77,1.836
78,1.923
79,1.816
80,1.855
81,1.905
82,1.956
83,1.833
84,1.911
85,1.825
86,1.849
87,1.797
88,1.826
89,1.896
90,1.925
91,1.806
92,1.895
93,1.891
94,1.847
95,1.890
96,1.816
97,1.856
98,1.905
99,1.775
100,1.896
101,1.838
102,1.722
103,1.879
104,1.855
105,1.834
106,1.889
107,1.834
108,1.751
109,1.872
110,1.902
111,1.935
112,1.888
113,1.905
114,1.877
115,1.824
116,1.892
117,1.866
118,1.779
119,1.824
120,1.844
121,1.884
122,1.832
123,1.893
124,1.891
125,1.879
126,1.919
127,1.852
128,1.951
129,1.836
130,1.887
131,1.816
132,1.913
133,1.868
134,1.857
135,1.829
136,1.916
137,1.872
138,1.862
139,1.813
140,1.916
141,1.848
142,1.882
143,1.820
144,1.772
145,1.882
146,1.833
147,1.880
148,1.906
149,1.845
150,1.879
151,1.877
152,1.845
153,1.879
154,1.824
155,1.819
156,1.837
157,1.862
158,1.895
159,1.876
160,1.884
161,1.837
162,1.842
163,1.960
164,1.836
165,1.800
166,1.916
167,1.885
168,1.863
169,1.883
170,1.909
171,1.942
172,1.919
173,1.936
174,1.869
175,1.877
176,2.005
177,1.858
178,1.905
179,1.772
180,1.868
181,1.867
182,1.857
183,1.921
184,1.845
185,1.872
186,1.810
187,1.853
188,1.864
189,1.849
190,1.877
191,1.887
192,1.816
193,1.864
194,1.841
195,1.877
196,1.899
197,1.841
198,1.850
199,1.959
200,1.820
201,1.807
202,1.853
203,1.908
204,1.782
205,1.888
206,1.893
207,1.757
208,1.833
209,1.897
210,1.923
211,1.793
212,1.880
213,1.794
214,1.862
215,1.872
216,1.874
217,1.845
218,1.775
219,1.826
220,1.863
221,1.936
222,1.841
223,1.829
224,1.873
225,1.844
226,1.846
227,1.859
228,1.822
229,1.817
230,1.863
231,1.855
232,1.929
233,1.823
234,1.861
235,1.889
236,1.902
237,1.883
238,1.937
239,1.849
240,1.893
241,1.826
242,1.860
243,1.859
244,1.881
245,1.842
246,1.914
247,1.802
248,1.813
249,1.836
250,1.798
251,1.886
252,1.807
253,1.879
254,1.862
255,1.863
