biglietteria_0,avgInterarrivalTime,0.356,0.007
biglietteria_0,avgArrivalRate,2.828,0.055
biglietteria_0,avgWait,2.233,0.290
biglietteria_0,avgDelay,1.900,0.288
biglietteria_0,avgServiceTime,0.333,0.005
biglietteria_0,avgNumNode,6.088,0.824
biglietteria_0,avgNumQueue,5.193,0.814
biglietteria_0,utilization,0.895,0.014
biglietteria_1,avgInterarrivalTime,0.345,0.007
biglietteria_1,avgArrivalRate,2.914,0.054
biglietteria_1,avgWait,2.514,0.311
biglietteria_1,avgDelay,2.184,0.307
biglietteria_1,avgServiceTime,0.331,0.006
biglietteria_1,avgNumNode,6.962,0.876
biglietteria_1,avgNumQueue,6.052,0.863
biglietteria_1,utilization,0.910,0.018
controlloBiglietti,avgInterarrivalTime,0.150,0.002
controlloBiglietti,avgArrivalRate,6.675,0.078
controlloBiglietti,avgWait,0.246,0.009
controlloBiglietti,avgDelay,0.079,0.008
controlloBiglietti,avgServiceTime,0.084,0.001
controlloBiglietti,avgNumNode,1.636,0.069
controlloBiglietti,avgNumQueue,0.525,0.053
controlloBiglietti,utilization,0.556,0.010
cassaFoodArea,avgInterarrivalTime,0.177,0.002
cassaFoodArea,avgArrivalRate,5.653,0.072
cassaFoodArea,avgWait,0.788,0.111
cassaFoodArea,avgDelay,0.646,0.110
cassaFoodArea,avgServiceTime,0.143,0.002
cassaFoodArea,avgNumNode,4.486,0.676
cassaFoodArea,avgNumQueue,3.684,0.665
cassaFoodArea,utilization,0.802,0.016
foodArea,avgInterarrivalTime,0.177,0.002
foodArea,avgArrivalRate,5.678,0.069
foodArea,avgWait,0.677,0.029
foodArea,avgDelay,0.180,0.025
foodArea,avgServiceTime,0.124,0.002
foodArea,avgNumNode,3.796,0.182
foodArea,avgNumQueue,1.015,0.151
foodArea,utilization,0.695,0.011
gadgetsArea,avgInterarrivalTime,0.396,0.008
gadgetsArea,avgArrivalRate,2.543,0.051
gadgetsArea,avgWait,0.865,0.052
gadgetsArea,avgDelay,0.358,0.048
gadgetsArea,avgServiceTime,0.254,0.005
gadgetsArea,avgNumNode,2.190,0.166
gadgetsArea,avgNumQueue,0.918,0.139
gadgetsArea,utilization,0.636,0.017
