centro,statistica,mean
biglietteria,delay,0.860
biglietteria,delay,0.991
biglietteria,delay,1.268
biglietteria,delay,1.095
biglietteria,delay,0.543
biglietteria,delay,0.570
biglietteria,delay,0.779
biglietteria,delay,0.944
biglietteria,delay,0.737
biglietteria,delay,0.784
biglietteria,delay,0.691
biglietteria,delay,0.917
biglietteria,delay,0.645
biglietteria,delay,0.635
biglietteria,delay,0.893
biglietteria,delay,0.807
biglietteria,delay,0.944
biglietteria,delay,0.791
biglietteria,delay,0.700
biglietteria,delay,0.701
biglietteria,delay,0.826
biglietteria,delay,0.496
biglietteria,delay,1.022
biglietteria,delay,0.826
biglietteria,delay,0.779
biglietteria,delay,1.138
biglietteria,delay,0.584
biglietteria,delay,0.657
biglietteria,delay,1.159
biglietteria,delay,0.579
biglietteria,delay,0.959
biglietteria,delay,1.481
biglietteria,delay,0.904
biglietteria,delay,0.698
biglietteria,delay,1.223
biglietteria,delay,0.536
biglietteria,delay,0.939
biglietteria,delay,0.948
biglietteria,delay,1.183
biglietteria,delay,0.888
biglietteria,delay,1.088
biglietteria,delay,0.832
biglietteria,delay,0.593
biglietteria,delay,0.637
biglietteria,delay,0.997
biglietteria,delay,0.982
biglietteria,delay,1.203
biglietteria,delay,1.031
biglietteria,delay,0.581
biglietteria,delay,0.868
biglietteria,delay,0.675
biglietteria,delay,0.755
biglietteria,delay,0.802
biglietteria,delay,0.840
biglietteria,delay,0.722
biglietteria,delay,0.646
biglietteria,delay,0.725
biglietteria,delay,1.154
biglietteria,delay,0.777
biglietteria,delay,0.660
biglietteria,delay,0.863
biglietteria,delay,1.086
biglietteria,delay,0.714
biglietteria,delay,1.102
biglietteria,delay,0.962
biglietteria,delay,0.609
biglietteria,delay,0.918
biglietteria,delay,0.603
biglietteria,delay,0.835
biglietteria,delay,0.998
biglietteria,delay,0.918
biglietteria,delay,1.315
biglietteria,delay,0.826
biglietteria,delay,0.787
biglietteria,delay,0.881
biglietteria,delay,0.591
biglietteria,delay,1.053
biglietteria,delay,0.514
biglietteria,delay,1.364
biglietteria,delay,1.409
biglietteria,delay,0.919
biglietteria,delay,1.130
biglietteria,delay,1.057
biglietteria,delay,0.849
biglietteria,delay,0.657
biglietteria,delay,1.394
biglietteria,delay,0.575
biglietteria,delay,0.684
biglietteria,delay,1.597
biglietteria,delay,0.904
biglietteria,delay,0.808
biglietteria,delay,1.302
biglietteria,delay,0.693
biglietteria,delay,0.526
biglietteria,delay,0.849
biglietteria,delay,1.047
biglietteria,delay,0.626
biglietteria,delay,1.107
biglietteria,delay,1.288
biglietteria,delay,0.734
biglietteria,delay,1.083
biglietteria,delay,0.631
biglietteria,delay,0.705
biglietteria,delay,1.040
biglietteria,delay,0.682
biglietteria,delay,0.699
biglietteria,delay,0.737
biglietteria,delay,0.560
biglietteria,delay,1.014
biglietteria,delay,0.956
biglietteria,delay,0.859
biglietteria,delay,1.238
biglietteria,delay,0.799
biglietteria,delay,1.712
biglietteria,delay,0.911
biglietteria,delay,0.862
biglietteria,delay,1.223
biglietteria,delay,0.984
biglietteria,delay,0.571
biglietteria,delay,0.871
biglietteria,delay,0.838
biglietteria,delay,0.976
biglietteria,delay,1.192
biglietteria,delay,0.686
biglietteria,delay,0.819
biglietteria,delay,1.081
biglietteria,delay,0.729
biglietteria,delay,1.228
controlloBiglietti,delay,0.054
controlloBiglietti,delay,0.042
controlloBiglietti,delay,0.052
controlloBiglietti,delay,0.072
controlloBiglietti,delay,0.077
controlloBiglietti,delay,0.052
controlloBiglietti,delay,0.052
controlloBiglietti,delay,0.072
controlloBiglietti,delay,0.071
controlloBiglietti,delay,0.054
controlloBiglietti,delay,0.051
controlloBiglietti,delay,0.088
controlloBiglietti,delay,0.059
controlloBiglietti,delay,0.058
controlloBiglietti,delay,0.051
controlloBiglietti,delay,0.034
controlloBiglietti,delay,0.065
controlloBiglietti,delay,0.084
controlloBiglietti,delay,0.049
controlloBiglietti,delay,0.056
controlloBiglietti,delay,0.041
controlloBiglietti,delay,0.094
controlloBiglietti,delay,0.051
controlloBiglietti,delay,0.066
controlloBiglietti,delay,0.055
controlloBiglietti,delay,0.083
controlloBiglietti,delay,0.067
controlloBiglietti,delay,0.042
controlloBiglietti,delay,0.047
controlloBiglietti,delay,0.053
controlloBiglietti,delay,0.052
controlloBiglietti,delay,0.045
controlloBiglietti,delay,0.095
controlloBiglietti,delay,0.062
controlloBiglietti,delay,0.058
controlloBiglietti,delay,0.076
controlloBiglietti,delay,0.055
controlloBiglietti,delay,0.062
controlloBiglietti,delay,0.057
controlloBiglietti,delay,0.046
controlloBiglietti,delay,0.069
controlloBiglietti,delay,0.064
controlloBiglietti,delay,0.073
controlloBiglietti,delay,0.069
