centro,statistica,mean
biglietteria,utilization,0.769
biglietteria,utilization,0.772
biglietteria,utilization,0.810
biglietteria,utilization,0.750
biglietteria,utilization,0.699
biglietteria,utilization,0.714
biglietteria,utilization,0.713
biglietteria,utilization,0.753
biglietteria,utilization,0.767
biglietteria,utilization,0.747
biglietteria,utilization,0.699
biglietteria,utilization,0.757
biglietteria,utilization,0.715
biglietteria,utilization,0.734
biglietteria,utilization,0.738
biglietteria,utilization,0.752
biglietteria,utilization,0.826
biglietteria,utilization,0.789
biglietteria,utilization,0.733
biglietteria,utilization,0.724
biglietteria,utilization,0.752
biglietteria,utilization,0.717
biglietteria,utilization,0.732
biglietteria,utilization,0.743
biglietteria,utilization,0.729
biglietteria,utilization,0.839
biglietteria,utilization,0.690
biglietteria,utilization,0.750
biglietteria,utilization,0.761
biglietteria,utilization,0.748
biglietteria,utilization,0.803
biglietteria,utilization,0.825
biglietteria,utilization,0.738
biglietteria,utilization,0.740
biglietteria,utilization,0.769
biglietteria,utilization,0.692
biglietteria,utilization,0.791
biglietteria,utilization,0.703
biglietteria,utilization,0.818
biglietteria,utilization,0.775
biglietteria,utilization,0.760
biglietteria,utilization,0.725
biglietteria,utilization,0.715
biglietteria,utilization,0.733
biglietteria,utilization,0.774
biglietteria,utilization,0.749
biglietteria,utilization,0.786
biglietteria,utilization,0.757
biglietteria,utilization,0.734
biglietteria,utilization,0.789
biglietteria,utilization,0.735
biglietteria,utilization,0.753
biglietteria,utilization,0.766
biglietteria,utilization,0.757
biglietteria,utilization,0.751
biglietteria,utilization,0.714
biglietteria,utilization,0.777
biglietteria,utilization,0.764
biglietteria,utilization,0.749
biglietteria,utilization,0.733
biglietteria,utilization,0.737
biglietteria,utilization,0.803
biglietteria,utilization,0.741
biglietteria,utilization,0.763
biglietteria,utilization,0.752
biglietteria,utilization,0.703
biglietteria,utilization,0.768
biglietteria,utilization,0.714
biglietteria,utilization,0.753
biglietteria,utilization,0.735
biglietteria,utilization,0.747
biglietteria,utilization,0.766
biglietteria,utilization,0.821
biglietteria,utilization,0.733
biglietteria,utilization,0.715
biglietteria,utilization,0.705
biglietteria,utilization,0.795
biglietteria,utilization,0.713
biglietteria,utilization,0.787
biglietteria,utilization,0.800
biglietteria,utilization,0.757
biglietteria,utilization,0.803
biglietteria,utilization,0.769
biglietteria,utilization,0.766
biglietteria,utilization,0.709
biglietteria,utilization,0.834
biglietteria,utilization,0.730
biglietteria,utilization,0.751
biglietteria,utilization,0.748
biglietteria,utilization,0.731
biglietteria,utilization,0.757
biglietteria,utilization,0.832
biglietteria,utilization,0.731
biglietteria,utilization,0.743
biglietteria,utilization,0.761
biglietteria,utilization,0.751
biglietteria,utilization,0.747
biglietteria,utilization,0.796
biglietteria,utilization,0.772
biglietteria,utilization,0.712
biglietteria,utilization,0.791
biglietteria,utilization,0.726
biglietteria,utilization,0.747
