k,b,wait,interval
64,128,3.828897,0.278766
64,256,3.673484,0.235612
64,512,3.953651,0.270198
64,1024,4.541343,0.385766
64,2048,5.098615,0.554973
64,4096,5.010517,0.399374
64,8192,5.174657,0.374058
64,16384,5.018184,0.271394
128,256,3.953651,0.209461
128,512,4.541343,0,294337
128,1024,5.098615,0.415520
128,2048,5.010517,0.327836
128,4096,5.174657,0.335046
128,8192,5.018184,0.218791
128,16384,5.059407,0.175515
256,512,5.098615,0.303748
256,1024,5.010517,0.251748
256,2048,5.174657,0.262151
256,4096,5.018184,0.194410
